NazwaFolderu;NazwaCechy;NazwaCechyKlaudii
SALON_NumberOfUserPosts;number_of_posts;posts number 
SALON_NumberOfCommentsToOtherUsers;number_of_comments;written comments number 
SALON_PostActivityTime;posts_activity_time;posts activity time 
SALON_FrequencyOfPosts;frequency_of_posts_avg;posts freq avg
SALON_FrequencyOfPosts;frequency_of_posts_stddev;posts freq stddev
SALON_FrequencyOfPosts;frequency_of_posts_median;posts freq median
SALON_FrequencyOfPosts;frequency_of_posts_q3;posts freq q3
SALON_FrequencyOfPosts;frequency_of_posts_max;posts freq max
SALON_FrequencyOfPosts;frequency_of_posts_min;posts freq min
SALON_NumberOfReceivedResponsesToPost;number_of_received_responses_to_post_avg;received posts responses avg
SALON_NumberOfReceivedResponsesToPost;number_of_received_responses_to_post_stddev;received posts responses stddev 
SALON_NumberOfReceivedResponsesToPost;number_of_received_responses_to_post_median;"received posts responses median 
"
SALON_NumberOfReceivedResponsesToPost;number_of_received_responses_to_post_q3;received posts responses q3
SALON_NumberOfReceivedResponsesToPost;number_of_received_responses_to_post_max;received posts responses max
SALON_NumberOfReceivedResponsesToPost;number_of_received_responses_to_post_min;received posts responses min 
SALON_NumberOfReceivedUniqueUsersResponsesToPost;number_of_received_unique_users_responses_to_post_avg;received posts responses avg
SALON_NumberOfReceivedUniqueUsersResponsesToPost;number_of_received_unique_users_responses_to_post_stddev;received posts responses stddev 
SALON_NumberOfReceivedUniqueUsersResponsesToPost;number_of_received_unique_users_responses_to_post_median;"received posts responses median 
"
SALON_NumberOfReceivedUniqueUsersResponsesToPost;number_of_received_unique_users_responses_to_post_q3;received posts responses q3
SALON_NumberOfReceivedUniqueUsersResponsesToPost;number_of_received_unique_users_responses_to_post_max;received posts responses max
SALON_NumberOfReceivedUniqueUsersResponsesToPost;number_of_received_unique_users_responses_to_post_min;received posts responses min 
SALON_NumberOfAllResponsesFromUniqueUsersInSlot;number_of_all_responses_from_unique_users_in_slot;NumberOfAllResponsesFromUniqueUsersInSlot
SALON_NumberOfOwnResponsesToPost;number_of_own_post_responses_avg;own posts responses avg 
SALON_NumberOfOwnResponsesToPost;number_of_own_post_responses_stddev;own posts responses stddev
SALON_NumberOfOwnResponsesToPost;number_of_own_post_responses_median;own posts responses median 
SALON_NumberOfOwnResponsesToPost;number_of_own_post_responses_q3;own posts responses q3 
SALON_NumberOfOwnResponsesToPost;number_of_own_post_responses_max;own posts responses max 
SALON_NumberOfOwnResponsesToPost;number_of_own_post_responses_min;own posts responses min 
SALON_NumberOfReceivedResponsesUnderComments;number_of_received_responses_under_comments_avg;received comment responses avg
SALON_NumberOfReceivedResponsesUnderComments;number_of_received_responses_under_comments_stddev;received comment responses stddev 
SALON_NumberOfReceivedResponsesUnderComments;number_of_received_responses_under_comments_median;received comment responses median 
SALON_NumberOfReceivedResponsesUnderComments;number_of_received_responses_under_comments_q3;received comment responses q3
SALON_NumberOfReceivedResponsesUnderComments;number_of_received_responses_under_comments_max;received comment responses max 
SALON_NumberOfReceivedResponsesUnderComments;number_of_received_responses_under_comments_min;received comment responses min 
SALON_FrequencyOfComments;frequency_of_comments_avg;"comments freq avgâ€¨"
SALON_FrequencyOfComments;frequency_of_comments_stddev;comments freq stddev 
SALON_FrequencyOfComments;frequency_of_comments_median;comments freq median 
SALON_FrequencyOfComments;frequency_of_comments_q3;comments freq q3
SALON_FrequencyOfComments;frequency_of_comments_max;comments freq max 
SALON_FrequencyOfComments;frequency_of_comments_min;comments freq min 
SALON_NumberOfWordsInUserComments;number_of_words_in_comments_avg;written comments word count avg
SALON_NumberOfWordsInUserComments;number_of_words_in_comments_stddev;written comments word count stddev 
SALON_NumberOfWordsInUserComments;number_of_words_in_comments_median;written comments word count median 
SALON_NumberOfWordsInUserComments;number_of_words_in_comments_q3;written comments word count q3
SALON_NumberOfWordsInUserComments;number_of_words_in_comments_max;written comments word count max 
SALON_NumberOfWordsInUserComments;number_of_words_in_comments_min;written comments word count min 
SALON_NumberOfWordsInUserPosts;number_of_words_in_posts_avg;posts word count avg
SALON_NumberOfWordsInUserPosts;number_of_words_in_posts_stddev;posts word count stddev 
SALON_NumberOfWordsInUserPosts;number_of_words_in_posts_median;posts word count median 
SALON_NumberOfWordsInUserPosts;number_of_words_in_posts_q3;posts word count q3
SALON_NumberOfWordsInUserPosts;number_of_words_in_posts_max;posts word count max
SALON_NumberOfWordsInUserPosts;number_of_words_in_posts_min;posts word count min 
SALON_NumberOfWordsInResponsesToUserPosts;number_of_words_in_responses_to_posts_avg;received posts responses word count avg
SALON_NumberOfWordsInResponsesToUserPosts;number_of_words_in_responses_to_posts_stddev;eceived posts responses word count stddev 
SALON_NumberOfWordsInResponsesToUserPosts;number_of_words_in_responses_to_posts_median;"received posts responses word count median 
"
SALON_NumberOfWordsInResponsesToUserPosts;number_of_words_in_responses_to_posts_q3;received posts responses word count q3
SALON_NumberOfWordsInResponsesToUserPosts;number_of_words_in_responses_to_posts_max;received posts responses word count max 
SALON_NumberOfWordsInResponsesToUserPosts;number_of_words_in_responses_to_posts_min;received posts responses word count min 
SALON_NumberOfWordsInOwnPostResponses;number_of_words_in_own_post_responses_avg;own posts responses word count avg
SALON_NumberOfWordsInOwnPostResponses;number_of_words_in_own_post_responses_stddev;own posts responses word count stddev 
SALON_NumberOfWordsInOwnPostResponses;number_of_words_in_own_post_responses_median;own posts responses word count median
SALON_NumberOfWordsInOwnPostResponses;number_of_words_in_own_post_responses_q3;own posts responses word count q3
SALON_NumberOfWordsInOwnPostResponses;number_of_words_in_own_post_responses_max;own posts responses word count max 
SALON_NumberOfWordsInOwnPostResponses;number_of_words_in_own_post_responses_min;own posts responses word count min 